City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
286,Sawakin,SD,2020-12-23 02:20:24,19.11,37.33,76.3,84,18,7.31
287,Constitucion,CL,2020-12-23 02:15:36,-35.33,-72.42,62.67,60,0,14.05
288,Kokopo,PG,2020-12-23 02:20:24,-4.35,152.26,84.4,71,98,5.84
289,Fairbanks,US,2020-12-23 02:20:03,64.84,-147.72,33.8,50,75,2.24
290,Camocim,BR,2020-12-23 02:20:25,-2.9,-40.84,78.91,77,36,9.84
291,Taltal,CL,2020-12-23 02:20:25,-25.4,-70.48,60.94,76,49,0.72
292,Okha,RU,2020-12-23 02:20:25,53.57,142.95,-5.73,88,89,18.05
293,Waddan,LY,2020-12-23 02:20:26,29.16,16.14,57.78,61,100,8.63
294,Manicaragua,CU,2020-12-23 02:20:26,22.15,-79.97,71.6,94,79,6.93
295,Whitley Bay,GB,2020-12-23 02:18:24,55.04,-1.45,37.0,81,100,1.12
296,Pennagaram,IN,2020-12-23 02:20:27,12.13,77.9,71.6,73,75,4.52
297,Surgut,RU,2020-12-23 02:20:27,61.25,73.42,-9.4,76,40,11.18
298,Chaumont,FR,2020-12-23 02:20:27,48.12,5.13,55.99,86,100,5.01
299,Homer,US,2020-12-23 02:20:28,59.64,-151.55,37.4,86,90,4.7
300,Isiro,CD,2020-12-23 02:17:12,2.77,27.62,64.81,84,97,2.13
301,Airai,TL,2020-12-23 02:20:28,-8.93,125.41,65.68,100,99,3.65
302,Gushikawa,JP,2020-12-23 02:20:28,26.35,127.87,71.01,64,40,14.99
